#{"t_start": 1716949820.8427901, "env_id": "None"}
r,l,t
-0.03,3,47.927157
-0.11,11,47.956385
-0.33,33,48.075987
-0.05,5,48.094211
-0.14,14,48.14179
-0.2,20,48.187925
-0.09,9,48.223585
-0.12,12,48.250675
-0.11,11,48.27675
-0.07,7,48.29282
-0.05,5,48.312856
-0.05,5,48.324406
-0.22,22,48.388287
-0.15,15,48.453523
-0.16,16,48.512606
-0.15,15,48.556798
-0.2,20,48.651589
499.88,13,48.72418
-0.13,13,48.768821
-0.18,18,48.838939
-0.2,20,48.89794
-0.14,14,48.962013
499.91,10,48.988008
-0.07,7,49.004002
-0.13,13,49.037128
-0.07,7,49.0738
-0.13,13,49.124273
-0.08,8,49.143941
-0.08,8,49.162815
-0.05,5,49.173832
499.74,27,49.294551
-0.08,8,49.330848
-0.32,32,49.441728
-0.09,9,49.462605
-0.08,8,49.480634
-0.13,13,49.519208
499.68,33,49.599114
-0.18,18,49.652908
-0.05,5,49.665986
-0.21,21,49.713781
-0.06,6,49.732728
-0.05,5,49.753757
-0.1,10,49.838593
-0.04,4,49.856967
-0.26,26,49.969727
-0.07,7,49.987197
-0.03,3,49.994711
-0.08,8,50.012265
-0.03,3,50.019776
-0.03,3,50.026385
-0.09,9,50.046202
-0.05,5,50.063895
-0.1,10,50.099015
-0.12,12,50.126591
-0.18,18,50.174093
-0.17,17,50.218688
499.83,18,50.259046
-0.09,9,50.2906
-0.13,13,50.330785
499.63,38,50.441062
-0.03,3,50.454053
-0.11,11,50.502369
-0.05,5,50.524874
-0.11,11,50.552536
-0.14,14,50.586513
-0.09,9,50.615632
-0.07,7,50.630857
-0.12,12,50.658903
-0.11,11,50.683657
-0.04,4,50.692918
-0.17,17,50.746849
-0.04,4,50.75593
-0.09,9,50.775927
-0.07,7,50.793206
-0.23,23,50.875337
-0.13,13,50.904795
-0.05,5,50.916034
-0.05,5,50.936259
-0.26,26,51.108681
-0.22,22,51.172761
-0.23,23,51.228673
-0.13,13,51.264703
-0.14,14,51.306975
-0.03,3,51.318075
-0.14,14,51.352815
-0.03,3,51.36297
-0.09,9,51.398015
-0.09,9,51.420599
-0.07,7,51.43657
-0.08,8,51.454942
-0.06,6,51.473506
-0.07,7,51.499116
-0.14,14,51.538205
-0.05,5,51.549942
-0.04,4,51.559438
-0.03,3,51.565945
-0.07,7,51.584548
-0.3,30,51.653956
499.93,8,51.679314
-0.05,5,51.69736
-0.1,10,51.743566
-0.07,7,51.769681
-0.13,13,51.80756
499.86,15,51.868195
-0.13,13,51.917407
-0.17,17,51.963506
-0.06,6,51.976968
-0.06,6,51.991496
499.87,14,52.038978
499.8,21,52.107846
-0.05,5,52.137085
-0.11,11,52.181801
-0.19,19,52.302482
-0.17,17,52.349397
-0.07,7,52.375608
-0.04,4,52.384749
-0.11,11,52.419237
-0.15,15,52.46694
499.83,18,52.510686
-0.03,3,52.518691
-0.1,10,52.542793
-0.03,3,52.549793
-0.06,6,52.572008
-0.06,6,52.599195
-0.15,15,52.648845
-0.07,7,52.675053
-0.03,3,52.684076
-0.16,16,52.729937
-0.05,5,52.744517
-0.08,8,52.768083
-0.14,14,52.821464
-0.05,5,52.835505
-0.15,15,52.878191
-0.53,53,53.021823
-0.07,7,53.038896
-0.07,7,53.055898
-0.07,7,53.071911
-0.11,11,53.098051
-0.06,6,53.115618
-0.11,11,53.142824
-0.09,9,53.164932
-0.03,3,55.674762
-0.26,26,55.809445
-0.06,6,55.837039
-0.04,4,55.855659
-0.07,7,55.894029
-0.11,11,55.945639
499.84,17,56.000562
-0.1,10,56.033151
-0.03,3,56.046684
-0.05,5,56.064728
-0.04,4,56.075246
-0.05,5,56.087324
-0.11,11,56.115961
-0.23,23,56.169072
-0.09,9,56.189121
-0.12,12,56.220705
-0.14,14,56.252879
-0.12,12,56.28198
-0.2,20,56.331932
-0.06,6,56.346084
-0.36,36,56.432607
-0.04,4,56.442808
-0.12,12,56.470882
-0.1,10,56.494485
499.88,13,56.524396
-0.1,10,56.550495
-0.08,8,56.5771
-0.16,16,56.620805
-0.03,3,56.627321
-0.06,6,56.644413
499.86,15,56.686829
-0.03,3,56.694347
-0.05,5,56.706397
-0.06,6,56.720529
