#{"t_start": 1716825818.5659237, "env_id": "None"}
r,l,t
-10.02,3,9.716085
-10.02,3,9.721591
-10.03,4,9.725597
-10.03,4,9.728596
-10.02,3,9.732101
-10.03,4,9.736109
-10.02,3,9.739107
-10.02,3,9.741107
-10.04,5,9.745621
-10.02,3,9.748623
-10.02,3,9.750622
-10.05,6,9.755639
-10.04,5,9.759645
-10.09,10,9.768191
-10.02,3,9.771192
-10.02,3,9.779731
-10.03,4,9.782733
-10.04,5,9.787242
-10.04,5,9.792242
-10.04,5,9.795759
-10.02,3,9.798792
-10.02,3,9.801787
-10.02,3,9.803787
-10.02,3,9.80736
-10.02,3,9.809359
-10.02,3,9.812371
-10.04,5,9.816903
-10.04,5,9.820902
-10.03,4,9.8239
-10.02,3,9.827481
-10.02,3,9.833451
-10.04,5,9.842962
-10.02,3,9.846474
-10.02,3,9.849473
-10.02,3,9.851473
-10.02,3,9.854473
-10.02,3,9.856983
-10.02,3,9.859983
-10.02,3,9.862982
-10.03,4,9.866489
-10.03,4,9.869496
499.86,15,9.881746
-10.02,3,9.884746
-10.02,3,9.887282
-10.04,5,9.891321
-10.2,21,9.907425
-10.02,3,9.91046
-10.04,5,9.92094
-10.04,5,9.924941
-10.02,3,9.928452
-10.02,3,9.931452
-10.02,3,9.934452
-10.16,17,9.956673
499.92,9,9.970754
-10.04,5,9.977265
-10.02,3,9.982776
-10.02,3,9.987779
-10.04,5,9.994292
-10.03,4,9.999871
-10.02,3,10.00491
-10.02,3,10.009449
-10.02,3,10.014486
-10.13,14,10.032678
-10.05,6,10.046147
-10.02,3,10.049148
-10.12,13,10.068779
-10.04,5,10.076362
-10.02,3,10.080903
-10.02,3,10.084942
-10.04,5,10.092512
-10.03,4,10.099483
-10.02,3,10.105028
-10.04,5,10.112543
-10.02,3,10.117542
-10.07,8,10.128126
-10.02,3,10.132664
-10.03,4,10.138705
-10.04,5,10.145252
-10.04,5,10.151286
-10.02,3,10.162322
-10.03,4,10.166636
-10.02,3,10.171635
-10.02,3,10.178154
-10.02,3,10.183156
-10.02,3,10.187669
-10.03,4,10.195184
-10.05,6,10.22684
-10.02,3,10.23184
-10.02,3,10.24139
-10.03,4,10.260387
-10.02,3,10.265419
-10.03,4,10.286127
-10.03,4,10.318034
-10.08,9,10.330542
-10.02,3,10.334572
-10.02,3,10.344113
-10.02,3,10.346114
-10.02,3,10.349624
-10.03,4,10.352624
-10.03,4,10.356132
-10.02,3,10.358741
-10.03,4,10.362741
-10.02,3,10.365742
-10.03,4,10.368276
-10.04,5,10.373311
-10.05,6,10.377913
-10.02,3,10.380892
-10.02,3,10.383893
-10.06,7,10.389475
-10.04,5,10.393475
-10.02,3,10.396473
-10.04,5,10.406955
-10.04,5,10.413465
-10.04,5,10.417465
-10.05,6,10.421978
-10.02,3,10.425977
-10.02,3,10.428977
-10.03,4,10.432503
-10.02,3,10.435498
-10.04,5,10.439498
-10.04,5,10.444011
-10.02,3,10.447028
-10.06,7,10.452522
-10.02,3,10.454523
-10.02,3,10.458066
-10.03,4,10.461605
-10.02,3,10.46466
-10.02,3,10.474154
-10.08,9,10.480187
-10.02,3,10.483765
-10.04,5,10.487732
-10.04,5,10.492272
-10.05,6,10.496311
-10.02,3,10.499311
-10.06,7,10.504899
-10.02,3,10.507898
-10.02,3,10.509897
-10.04,5,10.514446
-10.04,5,10.518479
-10.03,4,10.521479
-10.02,3,10.52505
-10.03,4,10.52805
-10.03,4,10.53105
-10.02,3,10.541598
-10.08,9,10.550107
-10.02,3,10.552109
-10.02,3,10.554619
-10.03,4,10.559132
-10.03,4,10.562133
-10.05,6,10.567647
-10.06,7,10.572676
-10.05,6,10.578259
-10.02,3,10.580252
-10.02,3,10.583787
-10.03,4,10.586827
-10.03,4,10.590823
-10.02,3,10.592831
-10.02,3,10.595398
-10.02,3,10.598396
-10.02,3,10.607907
-10.04,5,10.611906
-10.02,3,10.614413
-10.04,5,10.618418
-10.02,3,10.621419
-10.03,4,10.624925
-10.02,3,10.627931
-10.04,5,10.632931
-10.04,5,10.636441
-10.02,3,10.639441
-10.06,7,10.644442
-10.02,3,10.647988
-10.02,3,10.651016
-10.02,3,10.653015
-10.02,3,10.656014
-10.03,4,10.659244
-10.02,3,10.670322
-10.06,7,10.676323
-10.03,4,10.679468
-10.03,4,10.683467
-10.04,5,10.68798
-10.03,4,10.690979
-10.03,4,10.693979
-10.02,3,10.69698
-10.03,4,10.700173
-10.03,4,10.704176
-10.03,4,10.707206
-10.03,4,10.711458
-10.02,3,10.713453
-10.02,3,10.716453
-10.02,3,10.719027
499.82,19,10.733599
